Text	Paraphrase
Tôi đã ăn phô mai.	Tôi ăn phô mai.
Tôi đang ăn sữa chua.	Tôi đang ăn phô mai.
Tôi đang ăn pho mát.	Tôi ăn một ít phô mai.
Hôm nay là thứ Hai.	Hôm nay là thứ hai.
Hôm nay là thứ Hai.	Hôm nay là thứ hai.
Hôm nay, là thứ Hai.	Hôm nay là thứ hai.
Thư viện ở đâu?	Thủ thư ở đâu?
Bạn không thể nói tiếng Anh?	Bạn có thể nói tiếng Anh không?
Bạn có thể nói tiếng Anh ở tất cả?	Bạn có biết nói tiếng Anh không?
Anh ấy nói tiếng Anh được không?	Họ có nói tiếng Anh không?
Cô ta có nói được tiếng Anh không?	Bạn đang nói tiếng Anh đấy chứ?
Bạn biết tiếng Anh?	Bạn có nói tiếng Anh lưu loát không?
Bạn có biết tiếng Anh không?	Bạn không thể nói tiếng Anh?
Ngày mai tôi sẽ ở đó.	Tôi sẽ ở đây vào ngày mai.
Tôi hơi mệt.	Tôi nghĩ rằng tôi chỉ mệt mỏi.
Tôi hơi mệt.	Tôi có một chút mệt mỏi.
Tôi cảm thấy mệt mỏi.	Tôi nghĩ rằng tôi chỉ kiệt sức.
Khi bố về nhà, tôi đang xem TV.	Khi người cha về nhà, tôi xem TV.
Tôi nợ anh ấy một món nợ.	Tôi mắc nợ anh ấy.
Tôi nợ anh ta một số tiền.	Tôi nợ anh ấy một lần.
Tôi nợ cô ấy một cái.	Tôi nợ bạn tiền.
Tôi nợ anh ta tiền.	Tôi nợ tiền của cô ấy.
Em trai tôi đang xem TV.	Anh trai tôi xem truyền hình.
Anh từ chối nói thêm về điều đó.	Cô từ chối nói thêm về nó.
Tôi không có thời gian rảnh để đọc.	Tôi thậm chí không có thời gian để đọc.
Tôi không có thời gian để đọc.	Tôi thậm chí không có thời gian để đọc.
Nói đi Mike. Cho tôi biết làm thế nào để đến nhà của bạn.	Nhân tiện, Mike, hãy cho tôi biết làm thế nào để đến nhà bạn.
Xin vui lòng cho tôi vào.	Cho tôi vào, làm ơn.
Mùa xuân sẽ ở đây sớm thôi.	Mùa xuân sẽ đến sớm.
Sẽ không lâu nữa trước khi mùa xuân đến.	Mùa xuân sẽ sớm đến.
Mùa xuân sắp đến.	Mùa xuân đã đến xung quanh.
Mùa xuân đã đến.	Mùa xuân đang đến gần.
Mùa xuân đang ở quanh góc.	Mùa xuân đã đến.
Đó là mùa xuân.	Mùa xuân đến rồi.
Mùa xuân đã đến.	Mùa xuân sẽ đến đây sớm.
Mùa xuân đang đến.	Mùa xuân là trong không khí.
Nó sẽ sớm là mùa xuân.	Mùa xuân đã đến sớm.
Mùa xuân sẽ đến đó sớm thôi.	Mùa xuân đã trở lại.
Mùa xuân đã về.	Gió mùa đang đến.
Mùa gió chướng đang về.	Mùa xuân đã đến.
Sẽ sớm là mùa xuân.	Đó là mùa xuân.
Nộp đơn trước là không cần thiết.	Bạn không cần phải nộp đơn trước.
Cá yêu thích của tôi để ăn là cá hồi.	Cá yêu thích của tôi là cá hồi.
Bạn đang lo lắng về điều gì?	Điều gì làm bạn rất buồn?
Tại sao bạn phải buồn như vậy?	Tại sao cô ấy trông buồn như vậy?
Tại sao bạn trông buồn như vậy?	Điều gì làm bạn rất tức giận?
Điều gì đã khiến cô ấy tức giận như vậy?	Tại sao anh ấy tức giận?
Điều gì khiến bạn tức giận?	Tại sao bạn giận dữ?
Tại sao bạn bị kích thích?	Tại sao cô ấy tức giận?
Tại sao họ tức giận?	Tại sao các bạn rất tức giận?
Tại sao bạn điên?	Tại sao bạn sợ?
Bạn tức giận vì điều gì?	Tại sao cô ấy trông buồn như vậy?
Tại sao khuôn mặt dài?	Tại sao bạn rất lo lắng?
Bạn đang rất căng thẳng về điều gì?	Tại sao bạn khó chịu?
Bạn đang tức giận về điều gì?	Bạn đang rất lo lắng về điều gì?
Tại sao mọi người cảm thấy sợ hãi?	Bạn đang rất lo lắng về điều gì?
Bạn xin lỗi về điều gì?	Tại sao bạn sợ?
Tại sao bạn lại khó chịu?	Tại sao bạn nao núng?
Điều gì đã khiến họ phát điên như vậy?	Điều gì đã khiến anh ấy phát điên như vậy?
Điều gì khiến bạn phát điên?	Điều gì làm cho anh ta điên?
Điều gì đã khiến cô ấy phát điên?	Điều gì làm bạn tức giận?
Điều gì làm anh ấy tức giận?	Điều gì làm cô ấy tức giận?
Tại sao bạn buồn?	Điều gì đã khiến anh ấy khó chịu như vậy?
Tại sao họ điên?	Tại sao bạn hoảng sợ?
Tại sao phải sợ?	Tại sao anh ấy buồn?
Tôi yêu cửa hàng đó.	Tôi yêu cửa hàng này.
Đó là tiền của tôi.	Số tiền này là của tôi.
Đây là tiền của tôi.	Đó là tiền của tôi.
Tôi thích ngôn ngữ Occitan.	Tôi thích tiếng Occitan.
Ngân hàng ở đâu?	Quầy đổi tiền ở đâu?
Ngân hàng ở đâu?	Văn phòng đổi tiền ở đâu?
Tất cả mèo đều có màu xám trong bóng tối.	Vào ban đêm, tất cả mèo đều có màu xám.
Sẵn sàng tiền sẽ đi.	Cái gì dễ dàng có được thì dễ dàng mất đi.
Dễ đến dễ đi.	Sớm nhận sớm chi.
Những lợi ích phi lý chỉ tồn tại trong thời gian ngắn.	Lợi bất chính không bao giờ mang lại lợi ích cho bất cứ ai.
Có được bởi tội lỗi - không có lợi nhuận bên trong.	Tiền trên tay ra đi.
Tiền bị đánh cắp không bao giờ đơm hoa kết trái.	Ill-nhận không bao giờ lợi nhuận.
Khi con mèo đi vắng, những con chuột sẽ chơi.	Khi con mèo đi vắng, những con chuột chơi.
Khi con mèo không ở đó, những con chuột đang nhảy múa.	Khi chủ nhà đi vắng, những người thuê nhà sẽ đến chơi.
Nếu con mèo ở bên ngoài, những con chuột nhảy múa trên bàn.	Khi con mèo đi, những con chuột sẽ chơi.
Khi con mèo bị mù, con chuột trở nên táo bạo.	Núi không có hổ thì khỉ lên làm vua.
Một người đàn ông biết hai ngôn ngữ có giá trị bằng hai người đàn ông.	Bạn càng biết nhiều ngôn ngữ thì bạn càng là một con người.
Ở đây thật tuyệt!	Đây là nơi hoàn hảo.
Nơi này thật tuyệt.	Nơi này là tuyệt vời.
Nơi này thật tuyệt vời!	Đây là một nơi tuyệt vời.
Nơi này là hoàn hảo.	Nơi này là tất cả các quyền.
Đây là một nơi tuyệt vời.	Đó là nơi lý tưởng.
Nó không đau.	Nó sẽ không đau.
Tôi không phải là một kẻ ngốc.	Tôi không ngu ngốc.
Anh ấy không bị bệnh.	Bạn không bị bệnh.
Tôi không ngu đến thế đâu!	Tôi không bị điên.
Tôi không ngu.	Tôi không ngốc.
Tôi không ngu.	Tôi không điên.
Tôi không điên.	Tôi không ốm.
Tôi không phải là bệnh nhân.	Cô ấy không bị bệnh.
Tôi không ngốc.	Nó sẽ không đau.
Nó sẽ không làm tổn thương.	Tôi không phải là người điên.
Tôi không bị bệnh.	Bạn không bị bệnh.
Tôi không bị ốm.	Tôi không phải là một thằng ngốc.
Tôi không có giả.	Tôi không phải là một người điên.
Tôi không ngu đến thế.	Tôi không điên đến thế đâu.
Tôi nhớ nơi đó.	Tôi nhớ nơi này.
Đó là ngày hôm qua mà tôi nhìn thấy anh ta.	Tôi đã thấy bạn ngày hôm qua.
Tôi đã nhìn thấy cô ấy ngày hôm qua.	Tôi đã nhìn thấy chúng ngày hôm qua.
Tôi không nói được tiếng Nhật.	Tôi không thể nói tiếng Nhật.
Tôi không thể nói tiếng Nhật.	Anh ấy đang nói tiếng Anh.
Anh ấy nói tiếng Anh.	Cô ấy có thể nói tiếng Nhật.
Anh ấy thông thạo tiếng Nhật.	Tôi không thể nói tiếng Nhật.
Anh ấy có thể nói tiếng Nhật.	Tôi không nói chuyện bằng tiếng Nhật.
Cô ấy nói tiếng Anh.	Anh ấy nói thông thạo tiếng Nhật.
Con chó đã chết.	Con chó sắp chết.
Con chó coi như đã chết.	Con chó đã chết.
Động vật có vú đã chết.	Con chó gần chết.
Tôi muốn nhảy.	Tôi cảm thấy muốn khiêu vũ.
Tôi quá mệt mỏi để đi bộ.	Tôi quá mệt mỏi để chạy.
Chúng tôi chưa ở đó.	Chúng tôi vẫn chưa ở đó.
Bạn không thấy chìa khóa của tôi à?	Bạn có biết chìa khóa của tôi ở đâu không?
Tôi đã không nhìn thấy nó.	Tôi không thấy cô ấy.
